12
0	“	1
2	”	1
12	、	9
14	。	11
15	「	1
29	」	1
16	ああ	1
23	あっ	1
85	あろ	1
110	いま	1
106	いら	1
8	いる	4
75	いれ	1
49	う	2
120	おのれ	1
19	おれ	1
37	から	1
5	が	5
53	ぐらい	1
30	こういう	1
17	ここ	1
65	こと	2
125	この世	1
74	さえ	1
129	すべて	1
67	する	1
95	そして	1
71	それ	1
24	た	2
79	たとえ	1
43	たは	1
128	だ	1
48	だろ	1
63	つまら	1
7	て	5
10	で	3
56	でき	1
47	できる	1
66	でも	1
58	と	2
122	ところ	1
94	とどめ	1
86	とも	1
109	な	1
57	ない	3
124	なかれ	1
11	なく	1
103	なさい	1
100	なら	1
18	に	6
64	ぬ	1
113	ね	1
9	の	11
3	は	7
44	はじめて	1
76	ば	1
21	べき	1
101	ほう	1
90	まい	1
69	まさっ	1
89	まぬがれ	1
55	も	1
134	もの	1
98	よ	2
81	よう	1
26	ようやく	1
60	より	1
40	れる	1
34	を	6
70	アイデア	1
127	シーソー	1
72	一心に	1
62	一番	1
87	世	1
61	世の中	3
46	事	1
133	人	1
111	人間	1
93	人間性	1
96	他	1
54	何	1
6	作っ	1
116	兄	1
39	出さ	1
52	分	1
118	友	1
38	叫び	1
1	垣根	1
115	子	1
45	安んずる	1
36	底	1
117	弟	1
28	当て	1
130	待っ	1
121	得る	1
35	心	2
77	必ず	1
97	忘れ	1
88	悪口	1
31	感	1
99	戦い	1
32	投	1
27	掘り	1
68	方	1
92	方がた	1
41	時	1
80	氷	1
73	求め	1
107	決して	1
82	潔癖	1
84	潔白	1
78	生まれる。	1
4	相手	1
126	絶え間	1
59	考え	1
13	自分	1
112	見捨て	1
114	親	1
105	言い訳	1
108	言う	1
33	詞	1
91	貴	1
42	貴方	4
102	賭け	1
123	軽んずる	1
20	進む	1
104	遊び	1
22	道	1
131	間	1
119	隣人	1
83	雪	1
132	頑張っ	1
25	！	1
51	０	1
50	３	1
